eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
seasongood & mayer|||B-ORG I-ORG I-ORG
-- u.s. municipal desk , 212-859-1650|||O B-ORG I-ORG I-ORG O O
press digest - washington post business - aug 26 .|||O O O B-ORG I-ORG O O O O O
washington 1996-08-26|||B-LOC O
the washington post carried only local business stories on august 26 , 1996 .|||B-ORG I-ORG I-ORG O O O O O O O O O O O
chelsea makes political debut on clinton train trip .|||B-PER O O O O B-PER O O O
chillicothe , ohio 1996-08-25|||B-LOC O B-LOC O
- chelsea clinton , until now carefully shielded from the exposure of public life , made her political debut on sunday on her father 's whistlestop train trip .|||O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
chelsea , 16 , was at president bill clinton 's side as he rode the rails through parts of west virginia , kentucky and ohio , and was introduced at every stop .|||B-PER O O O O O O B-PER I-PER O O O O O O O O O O B-LOC I-LOC O B-LOC O B-LOC O O O O O O O O
she even worked ropelines , shaking hands with excited fans .|||O O O O O O O O O O O
hillary rodham clinton saw her husband and daughter off on the trip in huntington , west virginia and then went on to chicago to begin a rigorous democratic convention schedule .|||B-PER I-PER I-PER O O O O O O O O O O B-LOC O B-LOC I-LOC O O O O O B-LOC O O O O B-MISC I-MISC O O
asked if chelsea would have a prominent role in the campaign , white house spokesman mike mccurry said : " she 'll do what she did today when she can .|||O O B-PER O O O O O O O O O B-LOC I-LOC O B-PER I-PER O O O O O O O O O O O O O O
she has to go back to school . "|||O O O O O O O O O
the president 's daughter is going into her senior year of high school at sidwell friends school , a private school in washington .|||O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O B-LOC O
mccurry said chelsea has asked to go on the train trip and attend the convention where her father will be renominated , but said her exposure did not signal the start of a new political career .|||B-PER O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
chelsea " is a very poised young lady , but she 's not that much interested in politics , " the spokesman said .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O
dutch closing share market report .|||B-MISC O O O O O
amsterdam 1996-08-26|||B-LOC O
dutch shares drifted to a lower close on monday , dragged down by weakness in the domestic bond market and turnover depressed by the uk bank holiday and lack of any significant u.s. economic data .|||B-MISC O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O B-LOC O O O
the aex index of leading shares closed 4.54 points easier at 556.19 , the day 's low .|||O B-MISC O O O O O O O O O O O O O O O O
the dutch market had been on the defensive all day but a softer start to wall street did little to boost sentiment in late trade , dealers said .|||O B-MISC O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O
" it was always going to be a tough day with participation so low .|||O O O O O O O O O O O O O O O
but the only thing really worrying the market was the bonds , and that dragged us lower , " one dealer said .|||O O O O O O O O O O O O O O O O O O O O O O O
stocks were down across the board , with dutch ptt topping the volume list and closing down 1.90 guilders at 58.70 .|||O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O
the post and telecoms firm posted an 8.5 percent rise in first half earnings on friday , just below analysts ' expectations .|||O O O O O O O O O O O O O O O O O O O O O O O
ihc caland reported first half results well under forecasts on monday and the shares suffered as a result .|||B-ORG I-ORG O O O O O O O O O O O O O O O O O
they were trading unchanged just before the release of figures but closed 2.40 guilders down at 80.70 after it reported net profits of 34.9 million guilders against 36.6 million last year and estimates ranging from 37.5 to 47.2 million .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ihc also forecast post tax earnings rising 21 percent for the full year .|||B-ORG O O O O O O O O O O O O O
banking group ing traded ex-dividend today and finished 0.60 guilders weaker at 52.90 as a result .|||O O B-ORG O O O O O O O O O O O O O O
but nutricia shrugged off its ex-div tag to soar a further 4.10 guilders to 214.40 continuing its explosive rally sparked by the 51 percent jump in first half net profits last week , which set the market alight on friday , sending the shares up 18.40 at 210.00 by the close .|||O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
engineering concern stork started the day well as the shares attracted some follow-through interest to the announcement late on friday that its fokker aviation unit had won a major order .|||O O B-ORG O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O
but the rally was short-lived and stork ended just 0.20 up at 51.00 guilders .|||O O O O O O B-ORG O O O O O O O O
-- amsterdam newsroom +31 20 504 5000|||O B-ORG I-ORG O O O O
tapie to quit french assembly seat as film opens .|||B-PER O O B-MISC O O O O O O
paris 1996-08-26|||B-LOC O
former businessman and soccer boss bernard tapie said that he would give up his seat in the national assembly by wednesday , the day a film by claude lelouche in which he stars opens in france .|||O O O O O B-PER I-PER O O O O O O O O O O B-ORG I-ORG O O O O O O O O B-PER I-PER O O O O O O B-LOC O
" i will no longer be deputy by the time the film opens , " he said in a broadcast interview .|||O O O O O O O O O O O O O O O O O O O O O O
" just about , " he told europe 1 radio when asked whether he had sent his letter of resignation to assembly speaker philippe seguin .|||O O O O O O O B-ORG I-ORG O O O O O O O O O O O O B-ORG O B-PER I-PER O
a seguin spokeswoman confirmed that no letter or call had yet been received .|||O B-PER O O O O O O O O O O O O
tapie , 53 , was resigning just ahead of expected government action to eject him from the assembly following a finding by the supreme court that he was bankrupt and thus ineligible for public office for a five-year period .|||B-PER O O O O O O O O O O O O O O O O B-ORG O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O
tapie , the target of a blizzard of legal actions over his now-destroyed business empire and the marseille soccer team he once ran , has a starring role in lelouche 's " homme , femmes : mode d'emploi " ( men , women : instructions for use ) .|||B-PER O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O
he plays a power-hungry lawyer in the movie described as " a tender and cruel comedy " by lelouche , who is making his 35th film .|||O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O
" i have paid too dearly for mixing two careers , " tapie said . "|||O O O O O O O O O O O O B-PER O O O
in france , you cannot be a film artist and a national politician at the same time .|||O B-LOC O O O O O O O O O O O O O O O O
that is why i will no longer be deputy by the time the film opens . "|||O O O O O O O O O O O O O O O O O
justice minister jacques toubon began last month the formal process of ejecting tapie from the french parliament as well as stripping him of his seat in the european parliament .|||O O B-PER I-PER O O O O O O O O B-PER O O B-MISC O O O O O O O O O O O B-MISC O O
the french procedure was expected to be completed before october 2 , when the national assembly is to reconvene after a summer break , but the european procedure was expected to take longer .|||O B-MISC O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O B-MISC O O O O O O O
tapie 's lawyer has said he intends to appeal to the european court of human rights in an effort to prevent or delay the loss of his european seat .|||B-PER O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O B-MISC O O
but such an appeal , even if the court were to accept the case , which it is not obliged to do , would not suspend enforcement of the french judgement against him .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O
tapie faces a probable spell in prison after he loses his parliamentary immunity , since two appeal courts have confirmed jail sentences of eight and six months against him for tax fraud and rigging a soccer match .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
he is appealing in both cases to the supreme court .|||O O O O O O O O B-ORG I-ORG O
bank of france drains 3.9 bln ffr at tender .|||B-ORG I-ORG I-ORG O O O B-MISC O O O
paris 1996-08-26|||B-LOC O
the bank of france drained 3.9 billion francs at a securities repurchase tender held on monday to allocate funds for injection into the money market on tuesday .|||O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O
it accepted bids for 44.3 billion francs in new liquidity , 3.9 billion less than the 48.2 billion leaving the market on tuesday when a previous pact expires .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the new pact expires on september 3 .|||O O O O O O O O
the bank of france said it allocated 13.4 billion francs to bidders offering treasury bills as collateral , satisfying 3.4 percent of such demand .|||O B-ORG I-ORG I-ORG O O O O O O O O O B-ORG O O O O O O O O O O O
it allotted a further 30.9 billion to bidders putting up private paper , satisfying 12.5 percent of this demand .|||O O O O O O O O O O O O O O O O O O O O
-- paris newsroom +33 1 4221 5452|||O B-ORG I-ORG O O O O
rabobank [ rabn.cn ] sees h2 net growth under 10 pct .|||B-ORG O O O O O O O O O O O
amsterdam 1996-08-26|||B-LOC O
dutch co-operative bank rabobank nederland ba 's net profit growth might slow to less than than 10 year percent in the second half of 1996 , executive board chairman herman wijffels said on monday .|||B-MISC O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O
the unlisted bank earlier announced a 1996 interim net profit of 853 million guilders , up 21.5 percent on the 702 million guilders reported in the first half of 1995 .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
he said second-half profit growth would depend on customer demand for loans , which was already easing , and the performance of financial markets , which were strong in the first half and boosted securities , trading and underwriting income .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" we expect reasonable growth in the second half .|||O O O O O O O O O O
maybe it will be in single-digits , " wijffels told reuters .|||O O O O O O O O B-PER O B-ORG O
he said growth in customer demand in the first half was 50 percent above normal but it was hard to maintain this pace .|||O O O O O O O O O O O O O O O O O O O O O O O O
rabobank 's net profit was 1.43 billion guilders in 1995 .|||B-ORG O O O O O O O O O O
the bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
but wijffels was unable to quantify second half investment to improve and extend domestic and offshore services .|||O B-PER O O O O O O O O O O O O O O O O
-- garry west , amsterdam newsroom +31 20 504 5000|||O B-PER I-PER O B-LOC O O O O O
press digest - france - le monde aug 26 .|||O O O B-LOC O B-ORG I-ORG O O O
paris 1996-08-26|||B-LOC O
these are leading stories in monday 's afternoon daily le monde , dated aug 27 .|||O O O O O O O O O B-ORG I-ORG O O O O O
front page|||O O
-- ipsos poll reports majority of french public opinion sympathises with plight of africans seeking to renew or obtain work and residence permits , calling government " stubborn , " " confused " and " cold-hearted . "|||O B-ORG O O O O B-MISC O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O
business pages|||O O
-- sncf railway trade unions want renegotiation of government bailout package , as european union prepares more proposals to increase competition .|||O B-ORG O O O O O O O O O O O B-ORG I-ORG O O O O O O O
-- world steel market shows signs of upturn .|||O O O O O O O O O
-- paris newsroom +33 1 42 21 53 81|||O B-ORG I-ORG O O O O O O
atria sees h2 result up on h1 .|||B-ORG O O O O O O O
helsinki 1996-08-26|||B-LOC O
finnish foodstuffs group atria oy said in a statement on monday it expects its result to improve in the second half of 1996 compared to the first half .|||B-MISC O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O
" the result of the second year-half is expected to improve on the early part of the year , " atria said .|||O O O O O O O O O O O O O O O O O O O O B-ORG O O
